Name,Author,User Rating,Reviews,Price,Year,Genre,Price Category,Popularidad,Años en Top,Author Frequency,Rating Category,Rating x Review,Log Reviews
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,2017,Non Fiction,Caro,Media,1,2,Bueno,20056.0,8.380456667842767
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2010,Fiction,Caro,Baja,1,1,Excelente,10953.6,7.733245646529795
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,Non Fiction,Intermedio,Baja,1,1,Bueno,1971.0,6.0844994130751715
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,2009,Fiction,Barato,Media,1,7,Bueno,54877.200000000004,9.365376374075716
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,Fiction,Barato,Baja,1,2,Bueno,11637.0,7.8582541821860294
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2010,Non Fiction,Intermedio,Muy alta,4,5,Excelente,142430.4,10.298026520510739
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2011,Non Fiction,Intermedio,Muy alta,4,5,Excelente,142430.4,10.298026520510739
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2012,Non Fiction,Intermedio,Muy alta,4,5,Excelente,142430.4,10.298026520510739
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,13,2014,Non Fiction,Intermedio,Muy alta,4,5,Excelente,142430.4,10.298026520510739
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2014,Non Fiction,Intermedio,Muy alta,4,5,Excelente,142430.4,10.298026520510739
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,Fiction,Intermedio,Media,1,4,Regular,28982.0,8.815963560853438
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,Non Fiction,Intermedio,Media,1,2,Excelente,29184.4,8.692322277628687
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,Non Fiction,Barato,Media,1,1,Excelente,29318.399999999998,8.717518372649767
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,2016,Non Fiction,Barato,Media,1,2,Bueno,21549.5,8.43076346341785
Watchmen,Alan Moore,4.8,3829,42,2009,Fiction,Caro,Baja,1,1,Excelente,18379.2,8.250620082174692
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,Fiction,Intermedio,Media,1,1,Bueno,40311.0,9.100413892597578
What Happened,Hillary Rodham Clinton,4.6,5492,18,2017,Non Fiction,Intermedio,Media,1,1,Bueno,25263.199999999997,8.61122983334262
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,Non Fiction,Intermedio,Media,1,1,Bueno,43672.4,9.13701670755734
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,Fiction,Intermedio,Baja,1,9,Bueno,8803.1,7.535830462798367
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2019,Fiction,Intermedio,Media,1,1,Excelente,39216.0,9.008346579384707
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,Non Fiction,Barato,Baja,1,1,Regular,14700.400000000001,8.114324709155339
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2012,Non Fiction,Barato,Media,2,2,Regular,32986.8,8.922391597295857
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2013,Non Fiction,Barato,Media,2,2,Regular,32986.8,8.922391597295857
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,Non Fiction,Intermedio,Media,1,1,Excelente,66139.2,9.53097354456765
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,Fiction,Intermedio,Muy alta,1,1,Excelente,421636.8,11.383295025154466
Where the Wild Things Are,Maurice Sendak,4.8,9967,13,2009,Fiction,Intermedio,Media,1,1,Excelente,47841.6,9.207135241027235
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,12,2018,Non Fiction,Intermedio,Media,1,1,Bueno,30677.399999999998,8.80537513890967
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,Non Fiction,Intermedio,Alta,1,1,Regular,74993.6,9.743612184572003
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,Fiction,Intermedio,Media,1,1,Bueno,48420.0,9.283683766200392
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,Non Fiction,Intermedio,Baja,1,1,Regular,5468.400000000001,7.172424577124845
Wonder,R. J. Palacio,4.8,21625,9,2013,Fiction,Barato,Alta,5,5,Excelente,103800.0,9.981651573505482
Wonder,R. J. Palacio,4.8,21625,9,2014,Fiction,Barato,Alta,5,5,Excelente,103800.0,9.981651573505482
Wonder,R. J. Palacio,4.8,21625,9,2015,Fiction,Barato,Alta,5,5,Excelente,103800.0,9.981651573505482
Wonder,R. J. Palacio,4.8,21625,9,2016,Fiction,Barato,Alta,5,5,Excelente,103800.0,9.981651573505482
Wonder,R. J. Palacio,4.8,21625,9,2017,Fiction,Barato,Alta,5,5,Excelente,103800.0,9.981651573505482
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,Fiction,Barato,Media,1,12,Excelente,46123.700000000004,9.149953221961088
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2016,Non Fiction,Barato,Media,4,4,Bueno,67355.7,9.570250078424845
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2017,Non Fiction,Barato,Media,4,4,Bueno,67355.7,9.570250078424845
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2018,Non Fiction,Barato,Media,4,4,Bueno,67355.7,9.570250078424845
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2019,Non Fiction,Barato,Media,4,4,Bueno,67355.7,9.570250078424845
